,text,retweet,likes
93,RT : Sono spesso accusato di essere unozerbino per Putin shill per aver sostenuto la Russia ...quindi perché li sostengo? Le mie r,2,0
96,"RT Raffo: Nei canili e nei rifugi delle zone liberate dell'Ucraina, pare che i russi abbiano rubato anche il cibo per animali, lascia",1,0
99,"RT : Dopo aver colpito nei giorni scorsi la Croce Rossa, oggi i russi hanno colpito un altro ospedale (vicino Kharkiv)",25,0
100,"Vorrei che a Modena, mia città della quale vado fiero, questi due (cosi come gli altri ritardati come loro) venissero presi a calci in bocca e messe le loro gigantografie sul Duomo. Perché sei novax sei scemo e vabbè, sei nogreenpass e vabbè, ma pure pro Putin sei MERDA vera https: t.co ohI3YiabSi",0,0
101,"RT : La guerra criminale di Putin, civili uccisi a sangue freddo. Nulla può giustificare questo orrore Bucha Non compria",4,0
102,"RT : Se Putin e i mafiosi gerarchi conoscessero la storia, saprebbero che sono già morti dentro e ridotti a ruderi senza anima. N",4,0
108,"io Chi gode dei massacri perpetrati dai russi sei tu che li rinfacci a chi voleva solo che quella gente si potesse difendere dagli aggressori aizzati dal criminale Putin. Sono morti come volevi che morissero, disarmati e indifesi. Ora puoi tornare a fare la pacifista sul divano",0,1
109,Ecco le operazioni militari di Putin! Bucha BuchaMassacre Ukraina UkrainaUnderAttack RussianWarCrimes https: t.co EqhABcENwC,0,0
111,"l invasione dell Ucraina da parte di Putin che non possiamo accettare e la dobbiamo chiamare con il suo nome: invasione. E dobbiamo fare il nome di chi tutto questo l ha provocato e perpetrato: Putin. Faccia uno sforzo, provi a dirlo, su. Bucha https: t.co rO7HwDVcwd",0,0
113,Praticamente con Putin una cosca mafiosa governa la Russia. mezzorainpiu,0,0
115,"RT : Dopo le esecuzioni di civili, il massacro e le fosse comuni a Bucha non ho più dubbi. A chi mi parlerà delle ragioni,",24,0
118,"RT geraci: In 120Secondi ho spiegato perché stop a imports di gas distrugge le nostre economie, ma quella di Russia. Numeri al",9,0
123,Questa guerra non si può fermare perché chi l ha causata non smette di bombardare un paese che viveva in pace. La NATO e glu USA non hanno nessuna responsabilità l unico responsabile di questa guerra e dei morti è Putin,0,0
127,"RT : Freccero: ""Il bombardamento di Mariupol è recitato da attori"". Be', può sempre andare a verificare di persona! O ha paur",41,0
130,Per la Pace non per Putin,0,0
131,RT : Putin è un lurido criminale della peggior specie. BuchaMassacre Bucha,8,0
133,"RT : Civili fucilati, bambini assassinati, popolazioni deportate: l elenco delle atrocità ordinate da Putin in Ucraina macc",9,0
134,RT : C è chi esprime le sue simpatie a Putin con la felpa e chi con la pochette https: t.co RQFzmzjRP3,22,0
140,RT : Draghi il risolutore La mia vignetta per Il Fatto Quotidiano oggi in edicola! draghi putin russia ucraina cina Russ,61,0
141,RT : Pochi giorni fa Putin diceva a Draghi che i tempi non sono maturi per la pace; Bucha spuntano le fosse comuni con almeno tr,39,0
142,"RT : gas putin Ops..Le forniture di gas russo alla Slovacchia non possono essere fermate, le autorità del Paese pagheranno l",1,0
146,"L' Ukraine deve arrendersi per porre fine a questo massacro ma, le sanzioni devono continuare fino a quando Putin non si ritiri e paghi fino all'ultimo centesimo di euro i danni di guerra...",0,1
150,"RT : Ricapitolando: Governo e Pd ci ricordano ogni giorno che affrancarci dal criminale Putin è morale , stiamo combattendo",99,0
155,"RT : Cavo Letta uno che si definisce democratico dovrebbe condannare tutte le guerre non solo Putin,se poi imit",2,0
156,RT : Si dice che la Transnistria possa essere l'asso nella manica di Putin per scompaginare e colpire ancora. Sono andato a ve,59,0
159,Perché non parli anche di salvini e meloni che hanno rapporti stretti con russi e putin? forse sei in malafede.,0,0
160,"No greenpass che espongono la ""Z"" per sostenere Putin. Nulla mischiato col niente. PutinWarCrimes Ukraine",0,0
162,"Nei canili e nei rifugi delle zone liberate dell'Ucraina, pare che i russi abbiano rubato anche il cibo per animali, lasciandoli così morire di fame Russia Ucraina RussianWarCrimes RussiaUkraineWar Ukraine UkraineRussiaWar StopPutinNOW StopWar NoWar Putin https: t.co uQnR8RntCA",1,3
163,"Ansa Zelensky sei solo un pivello e pure carnefice, stai facendo morire la povera gente per i tuoi interessi, per non trattare, Putin è un criminale ma tu non sei da meno, stai seduto, detti leggi e fai morire tutti i ragazzi e padri di famiglia e ancora dici che non ti arrendi.",0,0
166,"RT : Non dimenticare mai chi in Italia ha sostenuto Putin, lo ha elogiato, mostrato come riferimento politico e modello. E non",1,0
169,RT : Ma non sarà ambiguo anche definire Merlo e Il Foglio giornalismo? Mi tocca ri citarti mamma mia che mo,3,0
170,RT : e che quel delinquente di Putin finisca alla sbarra e marcisca in galera. Grandissimo figlio di una grandissima zoccola.,2,0
171,"RT : Zelensky oltre a difendere il suo Paese, sta anche facendo una proxy war per Zio Sam? Si . Putin è un ditt",1,0
174,"RT : Bucha è l orrore che entra prepotente nella vita di ognuno di noi, anche se molti sono in pieno diniego come con il covid.",96,0
177,RT : Quante attività hanno chiuso per colpa del CTS? Quante persone sono impazzite o perfino si sono suicidate per colpa loro?,22,0
179,RT : A Mosca nevica Ma i pacifisti non hanno problemi a manifestare contro la guerra di Putin in Ucraina Lei si chiama Yekater,38,0
181,"Cittadini ucraini giustiziati a sangue freddo, e i loro corpi abbandonati per le strade di Bucha. Questo orrore è opera di soldati russi. La domanda non è quanto gas russo bisogna continuare a comprare, ma quando arrestare Putin. BuchaMassacre Video via https: t.co CCBYwSUgJM",2,5
185,"Non dimenticare mai chi in Italia ha sostenuto Putin, lo ha elogiato, mostrato come riferimento politico e modello. E non dargli tregua, mai. Ukraine https: t.co QQEeV9XVZO via",1,1
189,"RT trend: In secondo luogo, la tensione tra Orb n e l'UE è ulteriormente acuita dal fatto che, sull' Ucraina, il premier ungherese è",3,0
191,"RT : Fino a quando la Russia e Putin potranno contare sui proventi delle nostre importazioni per pagare soldati, equipaggiam",2,0
198,"RT Rosato: Barbarie su barbarie, una guerra contro i civili. Mentre Putin pensa a quando e se si deve sedere per ragionare sul ser",34,0
202,RT dellobuono: delponte L'ex procuratore capo dei tribunali per i crimini di guerra delle Nazioni Unite (ONU) per l'ex Jugoslavia e il,24,0
205,RT : Aggiungere Putin. Diciamo le cose come stanno. https: t.co S1dw8nnbUP,4,0
207,putin sarà un pazzo (forse) ma Biden è il peggior presidente USA di sempre (certo),0,1
209,"RT : Media: ""I russi hanno distrutto la più grande raffineria ucraina"" guerra ucraina RussianUkrainianWar UkraineRussi",7,0
216,"RT days 82: Santoro : Processiamo Putin, ma allora processiamo pure Bush...a Baghdad bambini morti bruciati dai missili. Piazzapu",554,0
221,RT : Zelensky il leader online. Un libro molto interessante di Ucraina Ukraina Russia Zelensky guerrau,2,0
222,"Fino a quando la Russia e Putin potranno contare sui proventi delle nostre importazioni per pagare soldati, equipaggiamenti e mercenari, la guerra in Ucraina non finirà mai e con essa massacri come Bucha o Mariupol. PutinWarCrimes BoycottRussia",2,2
224,"RT : Kiev: ""I missili russi hanno colpito il porto di Mykolaiv"" guerra ucraina RussianUkrainianWar UkraineRussianWar",9,0
226,"RT : Nuove sirene di allarme a Odessa, gente nei rifugi guerra ucraina RussianUkrainianWar UkraineRussianWar russia",7,0
228,Biden aveva detto che Putin è un criminale di guerra. Un macellaio. E giù critiche. Bucha BuchaMassacre,0,1
232,RT : In Ucraina i russi del dittatore Putin stanno commettendo crimini di guerra anche contro i bambini. Qualsiasi errore,47,0
240,"RT : Sia chiaro, anche quando l'attenzione per la guerra in Ucraina passarà alla seconda, terza o perfino alla quarta pagina",1,0
241,"RT : Kherson, Ucraina Liberi cittadini scendono in piazza a manifestare contro l'invasione russa, come ogni giorno E come al",29,0
242,"Se la Nato avesse rifiutato un'espansione ad est a soli fini economici, adesso vivremmo ancora in pace. Ciò non toglie che Putin sia pericoloso, ma andarlo ad aizzare è stato proficuo per gli USA e deleterio per l' EU. gli americani ci stanno guadagnando alla grande.",0,0
244,RT : Chi diffama nei marcotarquinio farebbe bene a rileggere inchieste su putin trump bannon dugin e le trame,54,0
245,Un satellite spia al giorno d oggi ha una risoluzione millimetrica. Vuol dire poter vedere meglio di una persona con gli occhiali. Quando Biden ha chiamato Putin un animale probabilmente aveva già visto cosa stava succedendo a Bucha.,0,0
251,"RT : Sono stato inserito tra le ""personalità non gradite"" nella Russia di Putin per le mie prese di posizione in favore dell",776,0
257,RT : La Brexit è stata votata da vecchi. Spesso a danneggiare i giovani sono i vecchi. Anche Putin è un vecchio e chi condivi,36,0
262,Sono spesso accusato di essere unozerbino per Putin shill per aver sostenuto la Russia ...quindi perché li sostengo? Le mie ragioni sono ovvie e dirette: i battaglioni nazisti nell'Ucraina orientale hanno trascorso 8 anni a perpetrare un graduale genocidio contro il popolo https: t.co sXhmwrHLob,2,2
266,Diciamo che il Papa invece di andare a Malta 40 giorni fa sarebbe dovuto andare a Kiev e stabilirsi li fino a quanto Putin non avesse rinunciato alla guerraucraina. O la via diplomatica oppure le armi una via di mezzo non c è,0,0
267,RT : Un esercito di pezzenti. Nelle ritirate strategiche di queste ore i soldati di putin lasciano indietro i corpi dei commil,24,0
272,"RT : AlessandroOrsini Putin ORSINI CONTRO TUTTI, LA VERSIONE DEL PROF ""IO DEMONIZZATO, SONO SCIACALLI: PENSANO ABBIA PA",145,0
276,Se Orsini avesse un esercito e le bombe sarebbe peggio di Putin.,0,1
278,La forza dell'Europa. https: t.co ncK2DRxrKt Europe EU Ucraina Kiev Zelensky Odessa Papa Azov Bucha Srebrenica Mariupol Donbass Putin Metsola Orban Conte SerieA 3aprile mezzorainpiu NonelArena VentagliDiParole M5S https: t.co MO3rfSVAGW,0,0
288,RT : iacoboni terribile! Putin va fermato subito. Anche la Corte penale internazionale EN non può indugiare oltre.,2,0
289,RT : In Ucraina c è un aggredito (il popolo ucraino) e un aggressore (il presidente russo Putin). Tra il popolo aggredito,1,0
290,"RT : Ucraina, tra demagogia e giornalismo di guerra https: t.co 5TjX6cBjuL Ucraina RussianUkrainianWar REDNEWS Putin",6,0
294,"Nemmeno di fronte all'orrore di Bucha riesce ad esprimere una netta condanna nei confronti di Putin, che peraltro non prova nemmeno lontanamente a nominare PutinWarCrimes UkraineUnderAttack https: t.co DfjZLepzsX",0,1
295,"RT farese: Se le sanzioni all Italia fascista avessero incluso carbone e petrolio , la guerra di aggressione all Etiopia sareb",2,0
296,"RT : 1 8 Estratto del discorso del Prof. Orsini. ""Gli spazi di libertà e la razionalità"" Discorso Integrale: https: t.co 2",1,0
297,dibattista Vergognati Capra MISTIFICATORE DELLA VERIT PUTIN https: t.co ZL62vRYJFK,0,0
301,"Camera Senato Con quale supponenza, arroganza e saccenza definite, chi si fa delle domande e pone delle giuste riflession, sul metodo europeo per affrontare questo conflitto partito di putin gente che si definisce ""giornalista"" che dovrebbe contribuire al dialogo, ma è affetto da ottusità",0,2
303,"In Ucraina c è un aggredito (il popolo ucraino) e un aggressore (il presidente russo Putin). Tra il popolo aggredito ucraino e l esercito russo comandato all aggressione ci sono morti. Noi stiamo con il popolo aggredito, ma cerchiamo il cessatilfuoco e la fine della barbarie",1,2
306,"gas putin Ops..Le forniture di gas russo alla Slovacchia non possono essere fermate, le autorità del Paese pagheranno le risorse energetiche in rubli secondo la domanda russa. Lo ha annunciato il 3 aprile il capo del ministero dell'Economia slovacco, Richard Sulik.",1,1
312,"Salve pezzi di merda, cercate ancora il dialogo con Putin? BuchaMassacre",0,3
313,"Bucha rappresenta lo spartiacque tra guerra e macelleria. Chiunque difenda Putin ne diventa complice. Stop immediato a gas, petrolio e qualsiasi altra cosa provenga dalla Russia. Bisogna costringere Putin alla fame. StopPutinNOW StopWar",0,1
315,"RT : Il capo negoziatore russo Medinsky smentisce la controparte ucraina, secondo cui erano mature le condizioni per un inc",1,0
316,"RT Saba: Giustizia non è vederlo morto. Giustizia è portarlo a L'Aja, condannandolo davanti al mondo. Bucha Putin UkraineRussiaWar",8,0
318,RT : Grazie per averci sbloccato questo terrificante ricordo Berlusconi Putin 3aprile,4,0
327,La deriva che ha preso è terrificante per andare dietro ai 5 e scegliendo collaboratori discutibili pro Putin !! Era nato sotto i migliori auspici con padellaro direttore ... ora che brutta fine ha fatto ...,0,0
329,RT : La propaganda di Putin in Italia ha funzionato che è una meraviglia Ha varie forme: Non prendere posizioni nette (L,37,0
332,Si può dire che il silenzio dei media sui ritiri dei giocatori è roba da dittatura ma non è la Russia di Putin? https: t.co be4B2PgeJs,0,0
337,L uomo più ricco e perfido del mondo Putin. Il mondo non ha bisogno né di lui ne delle sue ricchezze. All inferno lui e loro. PutinWarCrimes,0,0
339,UkraineRussiaWar Zelenskyy Putin Biden NATO Ministero della Difesa della Federazione Russa ha mostrato filmati della distruzione delle posizioni mimetizzate delle Forze Armate dell' Ucraina Gli obiettivi sono stati distrutti dagli elicotteri d'attacco Ka 52 https: t.co vqOSydYtO8,0,0
341,"RT : Bisognava pensarci prima, quando denunciava solo g la vendita scellerata di armi. Quando chi attaccava Putin ed Er",2,0
345,"Siete stati per anni a Chigi, al Governo dell'Italia, ma non avevate capito chi fosse Putin... RussiaUkraineWar https: t.co qv8QntSla4",0,0
346,RT days 82: Meno male che stanno lavorando per la pace...questi criminali vogliono scatenare un conflitto nucleare. Qualcuno ha n,56,0
350,"I media e la propaganda sono andati davvero oltre ogni limite. Se faranno incaz, are davvero il grande Putin, per loro saranno cazzi amari! https: t.co TLn5WFyv5L",0,1
356,"RT : Hanno fatto del comico ucraino un personaggio e un santone, quando fino a un mese fa non lo conosceva neanche sua madre. I",4,0
358,"Quel prurito che provocano queste 2 ore, quel fastidio che si esprime in questi tweet, beh quello è il Putin interiore che spinge per uscire",0,0
361,Putin Ormai non può più tirarsi indietro quindi tutte le opzioni più disastrose sono aperte,0,1
362,"RT official: Accusato di tacere su Putin, Berlusconi sarebbe riuscito a contattarlo telefonicamente: un tentativo di mediazione s",12,0
368,"RT giannuzzo: Twitter è un posto bellissimo fino a che non incappi in tweet che ti fanno girare le . Dopo Bucha, come fate ad ave",1,0
369,RT : Non abbiamo cercato altre vie? Ma dove vivete! C'è tutto il mondo che sta,4,0
373,RT : Nessuno potrà mai cancellare o dimenticare queste atrocità. Il massacro di Bucha è la punta di un iceberg fatto di cr,6,0
378,RT : Bucha è genocidio. Omicidi di massa generalizzati e diffusi di gente inerme. Fermate il mostro Putin e consegnatelo,10,0
382,"Non è proprio come la mette l'autore, (che tra l'altro qui fa passare Putin come un ingenuo cosa che certo non è) https: t.co Brw9oJHm3F",0,1
384,"RT furlan: Questi sono civili, disarmati è non facevano nessuna resistenza per non far arrabbiare putin come diceva il professor",3,0
387,"Storici inviati di guerra sul conflitto in Ucraina: ""Questa narrazione ipersemplicistica che divide buoni e cattivi, accredita un pensiero dominante e bolla come amico di Putin chi pensa diversamente, è propaganda, non informazione"". https: t.co njSQ8LRVYY",0,1
394,Camera Senato Perché vi dimenticate sempre di forza Italia ? Credo che anche berlusconi abbia delle grosse responsabilità in quanto amico di putin,0,1
397,RT : 3aprile 1948 il Presidente USA Harry Truman firma il piano Marshall che autorizza aiuti per cinque miliardi di $ e ch,2,0
398,Voialtri fan di Putin. Siete marci. Nel cervello. StandWithUkraine RussiaWar Ucraina UcrainaRussia PutinWarCrimes RussianArmy RussianWarCrimes Mariupol Bucha,1,5
402,"RT : Ora ci diranno: Ah ma i video degli ucraini che malmenano i filo russi , Ah ma se non avessimo mandato le armi , Ah ma noi",6,0
404,RT : Bucha in questa guerra voluta da quel macellaio di Putin è la prova che Ue e Nato hanno ragione: supportando l eserci,3,0
410,"Non c è più spazio per alcuna forma di tolleranza nei confronti della Russia di Putin. Va fermato al più presto, perché non esiste sanzione o negoziato capaci di ostacolare la sua follia. Ucraina",1,3
411,RT mil: Bucha ci ricorda: chi è l'aggressore e chi l'aggredito. Una macelleria che va fermata al più presto Coloro i q,3,0
412,"RT : Per partecipare a un evento sportivo nel Regno Unito, gli atleti russi e bielorussi dovranno dichiarare per iscritto che no",2,0
413,RT : In Russia sta lentamente montando un onda popolare di rabbia e furore contro il mafioso Putin e i suoi complici oliga,95,0
414,"Al trentanovesimo giorno di guerra Tutankhamon Berlusconi si è accorto che l' Ucraina sia stata invasa, ma non ancora che l'invasore si chiami Putin.",0,1
422,"3aprile 2022 RussianUkrainianWar Continua a chiamarla operazione speciale, obbiettivo la de nazificazione in Ucraina, poi si comporta come un fascista di mrd. Putin... Bucha StopWar",0,0
424,RT : Macellaio e il suo nome Bucha Putin StopPutinNOW,6,0
434,"Appello di 10 storici inviati di guerra: non semplifichiamo realtà tra buoni e cattivi, infondiamo dubbi. Ucraina Putin Zelensky corradino Pubblico https: t.co borXkilWWh",0,0
438,"La guerra non era ineluttabile, è voluta da un autocrate che ha un nome e un cognome, quindi non dovrebbe tacere prima di tutto il nome di Putin, vero mandante di questo massacro. Lo nomini chiaramente, si dimostri persona capace di dignità almeno davanti all'orrore. https: t.co pR61aBIBrX",13,56
444,"Ci fermeremo solo quando tutto sarà ""tabula rasa"". La stupidità umana non ha limiti. Zelenskyy Biden Montani Putin",0,0
448,"Per partecipare a un evento sportivo nel Regno Unito, gli atleti russi e bielorussi dovranno dichiarare per iscritto che non faranno commenti in favore di Putin e dei rispettivi Paesi. Il certificato di pura razza ariana per ora no. https: t.co mXJKuwIQKB Russia Ucraina",2,2
457,Queste violenze le ha volute una sola persona. Un altro indizio: è la stessa persona che ha iniziato la guerra. Guai a pronunciare il suo nome. Ormai Putin è come Voldemort: alcuni non osano nemmeno nominarlo. https: t.co xK06L9ozu8,0,0
460,"RT : Gli orrori della guerra si moltiplicano. Questo significa guerra . Sangue, violenza, omicidio, strage, violazione dei dirit",1,0
462,"putin vuole la sua rivoluzione e semina morte tra i civili senza scampo. Immagini da Bucha sono sconvolgenti, corpi dei civili ormai senza vita per le strade. guerraucraina ucrainalibera putinmorto https: t.co LL3K2Y32wl",0,0
464,"Beh chiari e lineari sono anche gli altri, ma pro Putin",0,0
477,RT : L'80% dei russi pare appoggi il criminale Putin Ergo non bisogna considerare il popolo russo innocente rispetto alle b,5,0
480,Ma non siete stanchi di quello che Putin sta facendo alla reputazione del popolo russo? Non pensate all odio che gli ucraini avranno per voi per generazioni e al disprezzo che il mondo avrà per la Russia? Non siete stanchi? StopPutinNOW Russia,0,0
484,"RT : ma esiste veramente una correlazione ""vaccinati"" ""no vax"" e sto con putin sto con l' ucraina ? Un grazie a chi par",1,0
491,giulia giulia Tipo questi? StandWithUkraine RussiaWar Ucraina UcrainaRussia Putin RussianArmy RussianWarCrimes Mariupol Bucha Freccerto https: t.co V4VB4t45qo,0,0
498,La Commedia delle Parti ! Putin ArmataRossa Pidioti https: t.co cxqx7GbPqc,0,0
500,RT : Il pacifismo terzaforzista tra chi fa il genocidio e il popolo che lo subisce è una vergogna. come essere equidistan,82,0
501,RT Raffo: Il Sindaco di Bucha afferma che è stata scavata una fossa comune con circa 280 civili sepolti dai russi RussianWarCrimes,1,0
503,"RT : Le foto e i video da Bucha, con i civili legati e uccisi, sono insopportabili: i nazisti facevano così. Basta, basta, basta",129,0
506,"RT : ""Attraverso la preghiera l'uomo accoglie tutta la famiglia umana"". , abate di San Miniato al Monte. L",10,0
507,RT : Ma quando? Quando il tribunale internazionale darà la sentenza su PutinWarCrimes e sull'esercito russo? ! Mi pare che ci s,2,0
508,Piuttosto della guerra NoWar Ukraine https: t.co HdY6Ln2bEU,0,0
509,Anno zero. Bucha BuchaMassacre Ukraine Russia WAR https: t.co hyiFtPqHt0,0,0
511,Il Sindaco di Bucha afferma che è stata scavata una fossa comune con circa 280 civili sepolti dai russi RussianWarCrimes Russia Ucraina RussiaUkraineWar Ukraine UkraineUnderAttack StopWar NoWar PutinWarCrimes https: t.co bsJ7FgcfZ0,1,1
515,RT : Qualcuno dica a Freccero che i crimini di guerra dei russi non sono un programma televisivo Ukraine https: t.co qj92l,3,0
517,RT : Una donna viene punita in Ucraina. una punizione tradizionale! Si può vedere facilmente nelle strade di Ucraina pe,1,0
518,RT : Non so se davanti alle immagini che devastano l anima di ciascuno di noi siano più patetiche le parole di Michele Santo,7,0
519,La foto dell'anno è sua Igantius Ivlev Yorke Ukraine https: t.co wrIaJyWlVl,0,0
520,"RT : Italy, Como: ""Die, Moskal!"" A Ukrainian woman attacked two Russian women. The Carabinieri (police) intervened. Italia,",1,0
522,"RT : L'ingresso in Ucraina della CarovanaDellaPace Il racconto di Gianpiero Cofano, di org, a con",19,0
523,"RT : Soldati ucraini catturati da qualche parte JFO in uno degli ospedali.Degna di nota la buona cura dei feriti,per qualch",3,0
525,"RussianWarCrimes contaminati a Chernobyl Cernobil Cenobyl Pripyat Ukraine SovietUnion, il fisico nucleare: Nella Foresta Rossa le radiazioni più alte. Hanno sostato lì? Resterei allibito https: t.co S117HC5ZaQ via",0,0
527,"RT : A Bucha russi come nazisti. Stessi metodi, stessa ferocia. Ukraine PutinIsaWarCriminal",16,0
529,RT : Occidente! lorenzo Continuate inviare le armi... DPR( Repubblica popolare di Donestk,1,0
530,"RT : Ukraine: Mariupol,aperto corridoio per stranieri",1,0
531,Ukraine 35 % di vaccinata .avete fatto i controlli a gli 80 mila profughi e quanto hanno accettato di vaccinarsi ?,0,0
532,"RT branca: PutinWarCriminal non vuole la pace con Ukraine, non gliene frega niente. Vuole metà del suo territorio",1,0
533,"RT : Tutti gli orrori di cui abbiamo sentito parlare durante la Seconda guerra mondiale ora li abbiamo visti qui , dice il",6,0
