,text,retweet,likes
74,"RT : Gli obiettivi di Putin: il successo dell operazione legato alla sua durata. Pandemia e guerra, imprevisti che spiazzano gl",3,0
75,RT : Ma veramente ci sono beoti che credono che Putin abbia intenzione di conquistare il mondo? Che l'Ucraina sia solo il pri,18,0
76,RT antonio: La VERA trattativa telefonica di ieri che Draghi a condotto con Putin . rubli Gazprom gas Ukraine https: t.co 5,24,0
77,RT : Scholz ha chiesto a Putin di spiegargli lo schema di acquisto del gas russo... https: t.co NmcFA8rQMm,4,0
79,Il buffone atlantista ha detto che ha chiamato Putin per parlargli di pace... egli imbecilli lo applaudono pure. https: t.co e969b6kHnI,0,1
87,Draghi ha chiamato Putin per parlare di pace. Domani chiamerà Berlusconi per parlare di castità. draghi Putin 1aprile guerraucraina,0,0
88,"Messaggio che santoro propone di inviare a Putin e che potrebbe essere risolutivo per far cessare la guerra: ""MANNAGGIA AL DIAVOLETTO CHE C'HA FATTO LITIGA'... PACE PACE E LIBERTA' "".... notevole",0,3
89,RT : Dicono che Draghi abbia telefonato a Putin da un call center in Albania.,3,0
90,Chiedo scusa ma non era la Russia di Putin che doveva andare in fallimento? Draghi,0,0
91,Questa la Russia dell'assassino Putin! https: t.co A5seJ2YsrG,0,1
92,"RT : Pagare il gas in rubli, Draghi telefona a Putin e si fa spiegare un'operazione bancaria Praticamente, il banchiere di Palaz",7,0
94,RT : In questa vicenda c'è un colpevole che è Putin e c'è un popolo invaso che è quello ucraino. Chi fa distinzioni pelose su q,22,0
96,"RT 2: E chissà chi l'ha scatenata la guerra, invadendo l' Ucraina. RussianUkrainianWar Putin",2,0
98,"RT : Sanzioni, fonti Ue: Putin ha chiesto aiuto a Xi, per ora invano guerra ucraina RussianUkrainianWar UkraineRussian",9,0
99,"""oCULISTA"" di oculista z zelensky putin russia war crisirussiaucraina guerra scuderi sputnink cartoon satiricalcartoon vignette https: t.co YNNb04s5k5",1,0
103,RT : Putin è amatissimo in Italia ed ora per come si è mosso in RussiaUkraineWar e gas ancora di più. La grande Russia ha il s,74,0
104,RT : Per questo legame così forte dobbiamo ringraziare sempre i soliti scappati di casa che ci hanno messo in questa condiz,1,0
105,"RT : Putin: ""Come presidente democraticamente eletto dal mio popolo, difendo la mia Nazione,mentre voi in Italia avete Dra",112,0
106,"RT : scandaloso, Presidente Sergio Mattarella, che gli studenti italiani studino su libri di testo che mostrano la Russ",2,0
107,"RT s: Condanniamo putin ma anche l'America per aver bombardato in maniera indiscriminato, ma per per fermare putin bisogna trovar",168,0
108,"RT : Stalin appare in sogno a Putin e gli dice ""Dipingi di blu il Cremlino e uccidi tutti i tuoi nemici"". ""Perchè di blu?""",60,0
109,RT : Chiedere a Putin se accetta il pagamento in LIRE per il GAS equivarrebbe a salvare l Italia. Senza gas le industrie finirebbe,134,0
110,Gas dalla Russia: Gazprom ha interrotto le spedizioni in Germania attraverso il gasdotto Yamal Europe. Lo riporta Bloomberg citando l'operatore di rete Gascade La decisione segue il decreto di Putin sul pagamento in rubli,1,2
112,RT : bozambo... pace all'anima tua.... ma sei stato un coglione a credere in un assassino come putin Ucraina: morto Edy On,1,0
113,Ma come Putin non sa che Draghi ha guardato nei contratti e non lo puo' mettere queste sanzioni? Non ha letto il paragrafo dove diceva che solo EU e USA sono liberi di non rispettare i contratti? Che incompetenti sti russi!!!,0,0
116,"RT : Qual è il compito del partito russo in Italia? Destabilizzare la politica, non armare la Difesa, mantenere l asserviment",360,0
120,Putin sta forse minacciando la nostra dignità e la nostra libertà? Ecco cosa succede a guardare certe fiction: ci si ritrova a parteggiare per il protagonista... Russia Ucraina Putin Zelenskiy Draghensky iRussiSonoNostriFratelli gliUcrainiSonoNostriFratelli https: t.co HTrFox113j,0,0
121,Zelensky degrada due generali traditori che vengono prontamente risarciti e insigniti della Targa Orsini Petrocelli per la Pace nel Mondo Dominato da Putin... SuLeManiEInAltoICuori Arrendetevi RompeteLeRigheENonLePalle ZarWars StopPutinNOW StandUpForUkraine,0,0
122,Putin sta forse minacciando la nostra dignità e la nostra libertà? Ecco cosa succede a guardare certe fiction: ci si ritrova a parteggiare per il protagonista... Russia Ucraina Putin Zelenskiy Draghensky iRussiSonoNostriFratelli gliUcrainiSonoNostriFratelli https: t.co L9fujWvfjF,0,0
123,RT : claudio Questo è il decreto di Putin con la traduzione. Può spiegarmi il passaggio dell'aprire conti in Russi,1,0
124,"la libertà è farla parlare, dal suo amico Putin era carne da macello da tempo",0,0
127,RT : 49 milioni rubli Salvini Putin Draghi https: t.co AVquQx6NYE,3,0
128,Penso che il più grosso errore strategico di Putin sia stato non invadere l'Ucraina mentre Trump era presidente Usa,0,1
133,"RT sesia: Putin: Nessuno ci vende niente gratis, e noi nemmeno faremo opere di carità. Ciò significa che i contratti esistenti,",25,0
139,"RT : Russia, Gazprom continuerà a fornire gas all'Europa attraverso Ucraina guerra ucraina RussianUkrainianWar Ukraine",3,0
140,Putin ha solo parato per ora ma entro l'anno prossimo nessuno in UE comprerà più il suo gas si è condannato a morte per sempre lui e la russia un vero genio del caxxo ah ah ah !,0,0
142,RT : I russi accusano di genocidio 22 ufficiali ucraini guerra ucraina RussianUkrainianWar UkraineRussianWar russia,6,0
143,"Putin si è soffermato ad elogiare il murales di Napoli dedicato a Dostoevskij. Putin ha detto che questa dedica al grande scrittore russo gli dà speranza. Putin sta cercando da tempo un canale per comunicare con l'Occidente, specialmente con l'Italia. Ucraina, 1aprile https: t.co 6m6kmUiQnT",0,3
146,RT : russia Si aprano dunque finalmente gli occhi. Il nucleo duro anglo americano è dietro l operazione Zelensky e mira,5,0
147,"Ucraina: Putin e Scholz, non alterare termini contratti gas https: t.co LEnnyCXSQb",0,0
150,RT GrayDorian: Telefonata di un'ora tra Draghi e Putin. Tanto ci è voluto per comunicare l'ultima lettura del contatore del gas. rubli,87,0
154,"Tutti vogliamo la diplomazia, i negoziati, il dialogo. Ma se poi gli accordi vengono disattesi come fa il simpaticone (a troppi) che senso ha fare i pacifisti mentre lui bombarda e ammazza...? Orsini warukraine PutinWarCrimes Putin",0,0
159,"Forse non ti sei accorto, caro servetto, che quelli che hanno invaso l ucraina sono i russi di Putin.",0,0
160,padellaro gli unici ancora con i dubbi su Putin li hanno solo i suoi le....ulo del ah ah ah,0,0
162,RT geraci: Una valuta è internazionale se usata per: 1) bene di rifugio 2) transazioni commerciali 3) unità per prezzare commod,13,0
166,RT : La Russia delle disuguaglianze: l 80% delle famiglie fatica a sbarcare il lunario; il 3% dei russi detiene l 89% degli asset f,1,0
171,"RT : evidente, contrariamente all opinione di molti, che se vince Putin avremo ancora problemi di guerra, se vincesse",2,0
175,UkraineRussiaWar Zelenskyy Putin Biden NATO oltre a Biden e Zelenskyy i manifestanti che hanno cercato di assaltare la residenza del presidente Gotabaya Rajapaksa per il peggioramento della crisi economica. SriLankaCrisis https: t.co Pb3qiRlHAn,0,0
181,Libertà e dignità di pagare il gas e petrolio a Biden USA a prezzo maggiorato con un petrolio piu' inquinante? La mia dignità e libertà stava benissimo anche quando pagavamo Putin o se continuiamo a pagarglielo in rubli.,0,0
182,"RT : Il presidente russo, Vladimir Putin, ha firmato un decreto che impone da domani 1 aprile 2022 il pagamento in rubli del",101,0
183,"RT : Kiev: oltre 254 bimbi feriti, 153 sono stati uccisi guerra ucraina RussianUkrainianWar UkraineRussianWar russia",5,0
187,"Ma voi le vedete le facce dei nostri ""onorevoli"" parlamentari? E nonostante questo, riuscite a dormire...? 1aprile Putin Piazzapulita ottoemezzo Ucraina https: t.co LV9XztdKrX",0,1
190,La Russia delle disuguaglianze: l 80% delle famiglie fatica a sbarcare il lunario; il 3% dei russi detiene l 89% degli asset finanziari; il patrimonio di meno di cento miliardari supera i risparmi dell intera popolazione... Putin https: t.co KllP2pfJBb,1,2
193,RT : Il nonno banchiere telefona a Putin Il giorno dopo Putin pretende i rubli o chiude i rubinetti! Vi scongiuro riportatelo da,30,0
194,"RT : Putin apre all Europa sul gas: Se non volete pagarci in r ubli, accettiamo anche organi . (Matteo Iuliani",2,0
195,RT : Dopo la telefonata di ieri di Draghi a Putin ho avuto l'ennesima conferma: Draghi non conta proprio un cazzo! Solo qui in,72,0
198,"RT zombie 69: L'ambiguità delle risposte di Putin credo sia nel fatto che se non vende il gas all'Europa, non ha molti",1,0
200,RT : E la guerra immagino nasca da sola per volontà dello spirito santo. Ci sta un invasore che ha un nome e cog,2,0
205,Gli Ucraini apprezzano i monumenti storici e culturali più di quanto Putin apprezzi la vita dei soldati russi https: t.co EyliccZKP9,0,1
209,"RT 0902: Santoro: Il nostro nemico più grande in questo momento non è Putin, ma la guerra . Ed io aggiungerei anche chi sta face",29,0
210,RT : Ricapitolando. Idioti UE e petomane USA danno da un mese sanzioni alla Russia. Adesso che Putin vuole essere pagato i,18,0
211,"RT : Gas pagato in rubli, Putin ha firmato il decreto. Contratti sospesi a chi non si adegua. Francia e Germania si prepar",15,0
212,Sei libero di credere alla narrativa che Putin sia impazzito ed abbia attaccato e non che dopo 8anni di violazioni dei trattati da parte dell'Ucraina (sostenuta da NATO e USA) Putin si sia dovuto difendere quando ha scoperto 14 laboratori di armi biologiche,0,0
218,"SONDAGGIO IPSOS Commissionato da LaZ. RIFERIMENTO: Elettorato cinque CAMPIONE: centro sud. Quesito: Alla luce dello scenario internazionale delineatosi con l operazione militare della Russia di Putin in Ukraine, vi piace di più :",0,1
221,RT : L'isolamento di Putin è solo fantasia di Draghi e la compagnia di merenda affiancati dai giornalisti servitori di re,60,0
222,RT : Dire che l'Allievo è cresciuto ( Putin) benchè si è risvegliato Tardi dal Letargo per mettere in pratica quello che g,1,0
223,"Dire che l'Allievo è cresciuto ( Putin) benchè si è risvegliato Tardi dal Letargo per mettere in pratica quello che gli USA fanno da sempre, resta una Valutazione Insufficiente perchè ha dimenticato di Bombardare per 78 giorni il paese Fratello Aggredito https: t.co m9VkXow07f",1,2
226,... breakingnews Putin e Zelensky annunciano di volersi vedere di persona per porre fine alla guerra. L'incontro avverrà a Roma presso Villa Doria Pamphilj ospiti del PdC italiano Mario Draghi UkraineRussiaWar Ucraina Russia 1aprile https: t.co 7qDEslfU8Z,0,0
227,"Il primo ministro Justin Trudeau è favorevole all'esclusione della Russia dal G20. ""Non possiamo lavorare come al solito, con Putin seduto al tavolo con noi sarebbe estremamente difficile per noi e improduttivo per il G20"". UkraineRussianWar UkraineWar ukraine https: t.co hDHgl3RtXu",0,0
228,"RT : Non paghi in rubli, stai al freddo, ti ammali, muori. Il problema è che ad ammalarsi non sarà Draghi, ma gli italiani che",99,0
229,"RT : Le tv sono amplificatori potenti, ma i fatti nella realtà dicono altro. Putin ucrainarussiawar ZelenskyWarCriminal h",1,0
232,gas putin russia rubli Il trucco dello zar per blindare Gazprom e aggirare le sanzioni: si versano euro ma si paga in rubli P.s. Non è un pesce d aprile https: t.co Lfp87XY00O,1,1
234,"Le tv sono amplificatori potenti, ma i fatti nella realtà dicono altro. Putin ucrainarussiawar ZelenskyWarCriminal https: t.co 4Tyxu3yElY https: t.co AYVNPcm3Qk",1,0
235,"Il Covid non è altro che influenza, bronchite o polmonite. E la guerra in Ucraina è tutta una farsa perché quella vera si combatte in Donbass da 8 anni. E se Putin è un dittatore allora i nostri politici lo sono 10, 100, 1000 volte peggio. Punto",5,16
237,RT : paghiamo il gas russo a rate in 80 anni con il rubo di Salvini... rubli Gazprom Gas Putin https: t.co ES5oegBWuU,68,0
238,RT : Putin: da domani per il gas russo scattano i pagamenti in rubli... Dopo la telefonata di ieri con Draghi la situazione si,50,0
241,Quello degli U.S.A. è di sostituire Putin. Peccato che questa volta il dittatore in questione sia a capo dell'arsenale nucleare più ampio sul pianeta.,0,0
244,"RT : ""La Nato prima ha provocato Putin assicurando all' Ucraina che l'avrebbe difesa, poi vigliaccamente è scappata : Orsini t",198,0
245,"RT : Mosca: attacco ucraino in Russia, 8 depositi di petrolio in fiamme guerra ucraina RussianUkrainianWar UkraineRuss",24,0
248,"RT : Putin: ""I Paesi ostili devono pagare il gas russo in rubli dal 1 aprile. La Russia sospenderà i contratti del gas se gli",140,0
251,"RT : UkraineRussiaWar Ucraina Tutte le prime italiane, senza eccezioni, sono sul ""ricatto del gas"" di Putin: o rubli,",2,0
256,"Putin elogia il murales di Dostoevskij a Napoli: ""dà speranza"" per ulteriori info clicca qui https: t.co 9npl4iS7qI MuralesDiDostoevskij Attualità PrimoPiano https: t.co yxcy8Mzv65",0,0
257,Vero e chiamasi Putin,0,1
270,"RT : Putin sarebbe ""male informato dai suoi consiglieri"" secondo una fonte dell intelligence Usa sentita dalla Cnn: https: t.co",4,0
272,"RT : Arriva la conferma: da domani il gas russo esportato dovrà essere pagato in rubli. l'ultima mossa di Putin che, in un d",3,0
274,"RT : Chissà se quando non avremo più il gas di Putin, con una recessione spaventosa, gli italioti capiranno che es",5,0
282,claudio Prima regola: mai fidarsi di Draghi. Seconda regola: credere a Putin,0,0
285,Lo adoro! Putin è il mio presidente! E https: t.co mwh4FBcv5O,0,1
288,RT : Bisogna capire perché determinate elite americane vogliono che l Italia sia un luogo di sofferenza e privazioni. Questo è,5,0
293,"Putin è lo zarismo che distrugge a tappeto le città dove i russi putiniani zaristi ""macellano"". Se cade Putin e gli zaristi putiniani, si può pensare di rivedere l'immagine di Russia crudele, nemica, inospitale. vi giocate la reputazione!",0,0
295,"RT : Vogliono decapitare Putin, vogliono combattere in Ucraina e sterminare i Russi...ma sono in fila per la quartadose e no",4,0
296,"Russia: In altri video che circolano sui social, chiaramente visibile come l'attacco al deposito di petrolio sia stato sferrato da elicotteri. news Ucraina guerra UkraineRussiaWar attacco Putin https: t.co AVbZpr9fPH",0,0
297,"claudio Draghi non capisce nemmeno quello che gli viene detto negli incontri con Putin: un Presidente del Consiglio totalmente inadeguato,incompetente, sbaglia tempi e modi su tutto. Lo fa apposta? Allora va arrestato perché in 14 mesi ha distrutto l'Italia con una dittatura mostruosa",0,0
301,"RT : Dall'autore del murales di Dovstoeskij a Napoli: ""ASSURDO PUTIN PARLA DEL MURALE DI Dostoevskij A NAPOLI! è mai",2,0
302,"RT : Ucraina, Santoro: ""Processiamo Putin, ma pure Bush"". Magari! Ma adesso fermiamo Putin! Non è mica che tutti i partiti po",3,0
303,"RT : L'Italia sui pagamenti del gas russo applicherà le linee concordate a livello europeo, ma al momento non c'è ancora un'",2,0
306,RT : Ha il cancro alla tiroide . Dalla Russia la notizia bomba sulla malattia di Putin proekt guerra 1aprile iltempoquotid,3,0
311,iltempoquotidiano riporta l articolo pubblicato on line dal media indipendente russo Proekt a seguito di una indagine durata un anno: Putin avrebbe un cancro alla tiroide. StandWithUkraine https: t.co of5d2BDCox,0,0
315,"RT official: Ucraina, cadaveri di soldati russi di soli 16 anni. PietroSenaldi: Putin è un bast . Video editoriale su Liberot",15,0
316,"RT : Come faranno quelli della dittatura sanitaria senza più la dittatura sanitaria ? Ah, c è Putin! Putin dittaturasanitaria",2,0
317,"Vorrei sapere da Putin se il gas ce lo dà, che devo infornare la parmigiana di melanzane",0,2
320,GLI AMERICANI HANNO DATO ORDINE A TUTTO IL MAINSTREAM(giornalari e TV) DI RIPETERE A PAPPAGALLO CHE : 1 PUTIN HA L'UNGHIO INCARNITO 2 LA RUSSIA TUTTA GHIACCIATA 3 CHE LA NOSTRA ECONOMIA VOLA! omnibusla7 agorarai coffeebreakla7 https: t.co ChFljfESKd,0,0
321,"RT : Il ricatto del gas di Putin, le scelte energetiche dei governi europei, l' inflazione record in tempo di guerra La",1,0
323,"RT : Gas, la mossa di Putin è storica. ""Pagate in rubli o blocchiamo le forniture"". Ma cosa l'ha spinto a farlo? Ecco il d",81,0
327,"RT : Il famigerato nazista, fondatore del battaglione di volontari ""Kharkov 1"" Sergey Yangolenko Passa a miglio vita IoS",1,0
329,"RT : Nel 1974 vi fu l'austerity dovuta alla crisi energetica, l'Italia e altre nazioni adottarono delle misure mirate al risparmio",15,0
332,"incredibile come tutti quelli che parlano della guerra, si atteggino come unici depositari della verità, della soluzione a portata di mano a cui nessuno ha pensato. Viviamo in un mondo di fenomeni incompresi. Ucraina Guerra Putin RussiaUkraineWar",0,0
336,Comunque Conte segue un copione .Ha iniziato a fare il pazzo dopo l uscita dell Ambasciata russa sugli aiuti a Bergamo (un avvertimento forse???) e poi ieri inalberandosi per essere definito filoputiano ..fossi il starei attento e molto putin UkraineRussiaWar,0,1
340,"Se le diplomazie economiche sanno risolvere in modo ipocritamente creativo o creativamente ipocrita il ""diktat"" di Putin sul gas, perchè le diplomazie istituzionali non ci mettono la stessa creatività (o la stessa ipocrisia) per risolvere il diktat di Putin sulla guerra?",0,0
341,"Forse i renzines da tastiera gradirebbero un'accurata lista di proscrizione dei giornalisti da non mandare in TV? Già passati i tempi quando criticavano Grillo e di Maio, eh? Ipocrisia portami via. Santoro PiazzapulitaLA7 Putin Renzi https: t.co wvkbEBSwYl",0,0
342,"Russia, Gazprom continuerà a fornire gas all'Europa attraverso Ucraina guerra ucraina RussianUkrainianWar UkraineRussianWar russia putin Mariupol https: t.co rrunkKo9lL https: t.co dvtSnIGZuJ",5,19
343,"evidente, contrariamente all opinione di molti, che se vince Putin avremo ancora problemi di guerra, se vincesse no.",2,14
344,"RT : 1aprile rassegnastampa scuola pescedaprile novax. Novità congedi parentali. Lo studente che amò tre presidi. Putin, gas",0,0
345,RT : Lazio. Assessore leghista e no vax pubblica sui social una Z in solidarietà alla Russia. Le cose sono due: o è un altro amico,6,0
348,"Russia, Gazprom continuerà a fornire gas all'Europa attraverso Ucraina guerra ucraina RussianUkrainianWar UkraineRussianWar russia putin Mariupol https: t.co rrunkKo9lL https: t.co 9rizX7S833",3,8
350,"RT : UkraineRussiaWar Ucraina Per , quello di Putin è un bluff per spaventare la Ue,",1,0
353,RT : Sentire Santoro a ha un effetto straniante: vecchi comunisti pro Putin. Il pacifismo degli utili idioti,29,0
354,"Le banche occidentali hanno ""trattenuto"" le riserve della Russia,cioè tasse dei cittadini russi. Ora,se Putin, per sopperire al danno prodotto alla sua moneta, vi chiede di pagare con i rubli, voi fate fallire migliaia di imprese italiane? Ma ci fate o ci siete? Gazprombank",0,2
356,Da Putin a Conte: queste vittime di se stesse.,0,0
357,RT : ' Putin alla guerra del gas': questo e altri titoli in primapagina oggi 1aprile nella nostra rassegnastampa. https:,1,0
361,RT : Draghi putin e Zelensky chiedono che l Italia sia garante . Il 9 luglio le primarie del centrosinistra salvini F,1,0
364,RT : putin pagate il gas in rubli o fermeremo le forniture . draghi l Italia sarà tra i garanti nei negoziati . fedez,1,0
366,RT : Salvini e Meloni si dimenticano di delitti effereati compiuti da italiani come quello di CAROLMALTESI o anche solo di p,2,0
371,Per questo legame così forte dobbiamo ringraziare sempre i soliti scappati di casa che ci hanno messo in questa condizione. Putin https: t.co 5DqPXd8UEq https: t.co TTURJ9nIRC,1,1
372,"Come distruggere un patrimonio culturale sporcandolo col sangue degli innocenti. Putin Jorit che dice? ""Mi dà speranza"": Vladimir Putin loda il murale di Jorit realizzato a Napoli dedicato a Dostoevskij https: t.co aO1RracG4K",0,0
377,Possiamo smetterla con la storiella dell aiuto al Donbass? . Putin non è interessato a riunire il mondo in lingua russa ma a garantire il dominio energetico della Russia. Forse fin dall inizio le sue mire erano le riserve energetiche nell est dell Ucraina (Nyt) https: t.co 7Objyea5hf,0,2
379,"RT : Elicotteri Ucraina in raid aereo su deposito carburanti di Belgorod, Russia Forse il primo attacco su territorio russo da",10,0
380,"RT : Altro che sospetto.. Putin ha previsto contromosse per azioni che al momento nemmeno immaginiamo, pure per quell",4,0
382,RT : In un mese TV e giornali quanto di vero ha detto o scritto sulla guerraucraina e su Putin?,1,0
383,"RT geraci: Quanto gas hanno gli USA per noi? Come è il bilancio energetico degli USA, per capire quanto gas producono, importa",11,0
387,"CORRIERE DEL MEZZOGIORNO Corriere della Sera. GIANFRANCO VESTUTO, DIRETTORE DI RUSSIA NEWS : ""IO, MERIDIONALISTA CONVINTO, PUTIN PUO' ESSERE UN ESEMPIO"". di Claudio Mazzone https: t.co 9lgaXvbNa3 ITA E russia https: t.co 54SPyuJw20",0,0
398,Cazzuti siamo noi rubli RublesForGas Putin GasRusso Gentiloni UnioneEuropea https: t.co TIu1OJAG1q,0,0
401,RT : Conversazione telefonica tra Erdogan e Zelensky; il Presidente turco propone al suo omologo d'incontrare Putin di person,1,0
402,"RT : Sapete qual è il colmo per Vladimir Luxuria? Farsi arrestare in Russia con la bandiera ""Gay è Ok"" contro Putin e poi venir",3,0
405,"Putin chiede di pagare il gas in rubli, ma l'Europa non ci sta. Ascolta tutte le notizie di oggi qui &gt; https: t.co nhvwWBK8sc putin gas rubli europa russia ucraina https: t.co ZYUf0Ya1MY",0,0
406,"""E allora Bush in Iraq? Se processiamo Putin, processiamo anche lui"": MicheleSantoro contro gli Usa a PiazzaPulita https: t.co zkgoSgVEWg https: t.co x6x7lwx73h",10,25
412,RT days 82: Borgonovo : Le sanzioni sono tutte contro l'Italia. fuoridalcoro Borgonovo Giordano Russia Putin Zelensky guer,136,0
